time (unix)	dt (s)	p (Pa)
1616492604.861	1.614	2656.73
1616492609.843	1.606	2655.34
1616492614.858	1.614	2653.87
1616492619.839	1.606	2652.88
1616492624.854	1.614	2651.95
1616492629.860	1.614	2650.89
1616492634.850	1.614	2649.64
1616492639.857	1.614	2648.91
1616492644.847	1.614	2648.47
1616492649.852	1.614	2647.35
1616492654.850	1.606	2645.92
1616492659.849	1.614	2644.85
1616492664.856	1.614	2643.91
1616492669.854	1.606	2643.32
1616492674.852	1.614	2642.41
1616492679.850	1.607	2641.08
1616492684.849	1.614	2639.86
1616492689.847	1.606	2639.14
1616492694.853	1.606	2638.36
1616492699.844	1.606	2637.38
1616492704.850	1.606	2635.86
1616492709.840	1.606	2634.87
1616492714.846	1.606	2633.87
1616492719.852	1.606	2632.85
1616492724.843	1.606	2631.70
1616492729.850	1.606	2630.67
1616492734.840	1.606	2629.66
1616492739.845	1.606	2628.81
1616492744.860	1.614	2627.54
1616492749.842	1.606	2626.52
1616492754.848	1.606	2625.20
1616492759.863	1.614	2624.20
1616492764.846	1.606	2622.79
1616492769.861	1.614	2621.52
1616492774.844	1.606	2620.17
1616492779.850	1.606	2619.25
1616492784.858	1.606	2617.75
1616492789.849	1.606	2617.14
1616492794.855	1.606	2616.17
1616492799.845	1.606	2615.44
1616492804.852	1.606	2614.31
1616492809.842	1.606	2613.73
1616492814.848	1.606	2612.30
1616492819.855	1.606	2611.18
1616492824.846	1.606	2609.91
1616492829.853	1.606	2608.89
1616492834.843	1.606	2607.69
1616492839.850	1.606	2606.67
1616492844.840	1.606	2605.62
1616492849.845	1.606	2604.55
1616492854.876	1.614	2603.49
1616492859.842	1.606	2602.69
1616492864.848	1.606	2601.60
1616492869.863	1.614	2600.27
1616492874.846	1.606	2599.10
1616492879.853	1.606	2597.84
1616492884.843	1.606	2596.81
1616492889.850	1.606	2596.18
1616492894.840	1.606	2595.32
1616492899.846	1.606	2594.62
1616492904.860	1.614	2593.84
1616492909.842	1.606	2592.59
1616492914.849	1.606	2591.15
1616492919.863	1.614	2590.12
1616492924.845	1.606	2589.09
1616492929.861	1.614	2587.74
1616492934.842	1.607	2586.63
1616492939.856	1.614	2586.08
1616492944.839	1.606	2584.71
1616492949.853	1.614	2583.77
1616492954.860	1.613	2582.77
1616492959.849	1.614	2581.39
1616492964.856	1.614	2579.75
1616492969.862	1.614	2578.47
1616492974.853	1.614	2577.69
1616492979.866	1.606	2577.00
1616492984.849	1.614	2575.51
1616492989.855	1.614	2574.22
1616492994.862	1.614	2573.16
1616492999.852	1.614	2572.46
1616493004.858	1.614	2571.58
1616493009.848	1.614	2570.54
1616493014.846	1.606	2569.48
1616493019.853	1.606	2568.25
1616493024.850	1.614	2566.88
1616493029.849	1.606	2566.02
1616493034.847	1.615	2565.50
1616493039.846	1.606	2564.66
1616493044.875	1.614	2563.36
1616493049.842	1.606	2562.15
1616493054.847	1.606	2560.26
1616493059.861	1.614	2559.07
1616493064.843	1.606	2558.05
1616493069.857	1.614	2557.31
1616493074.840	1.606	2556.58
1616493079.853	1.614	2555.48
1616493084.859	1.613	2554.10
1616493089.849	1.614	2553.26
1616493094.855	1.614	2552.74
1616493099.862	1.614	2552.37
1616493104.852	1.614	2551.52
1616493109.859	1.614	2550.76
1616493114.851	1.614	2549.18
1616493119.856	1.615	2548.31
1616493124.854	1.606	2547.27
1616493129.852	1.614	2546.13
1616493134.850	1.606	2545.06
1616493139.848	1.614	2544.54
1616493144.846	1.606	2543.68
1616493149.854	1.606	2542.42
1616493154.852	1.614	2541.21
1616493159.850	1.606	2539.96
1616493164.850	1.614	2538.55
1616493169.856	1.614	2537.56
1616493174.853	1.606	2536.42
1616493179.843	1.606	2535.36
1616493184.850	1.606	2534.49
1616493189.848	1.614	2533.72
1616493194.847	1.606	2532.21
1616493199.854	1.606	2530.76
1616493204.842	1.606	2529.65
1616493209.850	1.606	2528.35
1616493214.840	1.606	2527.47
1616493219.847	1.606	2526.20
1616493224.854	1.606	2525.01
1616493229.844	1.606	2524.18
1616493234.851	1.606	2522.95
1616493239.849	1.614	2521.53
1616493244.847	1.606	2520.77
1616493249.853	1.606	2519.91
1616493254.844	1.606	2518.97
1616493259.850	1.606	2517.20
1616493264.840	1.606	2515.41
1616493269.847	1.606	2514.66
1616493274.861	1.614	2513.88
1616493279.844	1.606	2513.02
1616493284.850	1.606	2511.84
1616493289.841	1.606	2510.78
1616493294.846	1.606	2509.68
1616493299.861	1.614	2508.80
1616493304.844	1.606	2507.30
1616493309.858	1.614	2506.40
1616493314.840	1.606	2505.41
1616493319.847	1.606	2504.69
1616493324.861	1.614	2503.93
1616493329.844	1.606	2503.29
1616493334.859	1.614	2502.34
1616493339.840	1.606	2501.20
1616493344.854	1.614	2500.13
1616493349.860	1.614	2499.17
1616493354.850	1.614	2498.12
1616493359.857	1.614	2496.52
1616493364.848	1.614	2495.62
1616493369.853	1.614	2494.70
1616493374.850	1.606	2493.60
1616493379.848	1.614	2492.91
1616493384.846	1.606	2491.99
1616493389.853	1.606	2490.74
1616493394.851	1.614	2489.14
1616493399.849	1.606	2488.14
1616493404.856	1.606	2487.13
1616493409.845	1.606	2485.76
1616493414.851	1.606	2484.23
1616493419.842	1.606	2483.02
1616493424.847	1.607	2481.90
1616493429.861	1.614	2480.88
1616493434.844	1.606	2480.04
1616493439.858	1.614	2479.03
1616493444.848	1.614	2477.91
1616493449.855	1.614	2476.60
1616493454.861	1.614	2475.55
1616493459.844	1.606	2474.46
1616493464.859	1.614	2473.06
1616493469.841	1.606	2471.70
1616493474.855	1.614	2470.66
1616493479.862	1.614	2469.78
1616493484.845	1.606	2468.86
1616493489.860	1.614	2467.95
1616493494.842	1.606	2467.06
1616493499.856	1.614	2466.28
1616493504.861	1.614	2464.83
1616493509.850	1.614	2463.60
1616493514.848	1.606	2462.77
1616493519.854	1.606	2462.29
1616493524.844	1.606	2461.34
1616493529.850	1.606	2459.93
1616493534.840	1.606	2458.64
1616493539.847	1.606	2457.67
1616493544.853	1.606	2457.01
1616493549.845	1.606	2455.71
1616493554.851	1.606	2454.54
1616493559.841	1.606	2453.63
1616493564.847	1.606	2452.58
1616493569.860	1.614	2451.22
1616493574.844	1.606	2450.30
1616493579.849	1.606	2449.62
1616493584.840	1.606	2448.59
1616493589.846	1.606	2447.32
1616493594.861	1.614	2446.04
1616493599.850	1.614	2444.51
1616493604.856	1.614	2443.78
1616493609.862	1.614	2443.05
1616493614.851	1.614	2441.82
1616493619.858	1.614	2440.52
1616493624.847	1.614	2439.40
1616493629.844	1.606	2438.05
1616493634.851	1.607	2437.05
1616493639.841	1.606	2435.98
1616493644.847	1.606	2434.50
1616493649.854	1.606	2433.57
1616493654.843	1.607	2432.62
1616493659.851	1.606	2431.55
1616493664.839	1.606	2430.56
1616493669.848	1.606	2429.89
1616493674.855	1.606	2428.79
1616493679.845	1.606	2427.23
1616493684.852	1.606	2426.13
1616493689.841	1.607	2425.20
1616493694.848	1.606	2423.75
1616493699.862	1.614	2423.15
1616493704.844	1.606	2422.15
1616493709.857	1.614	2421.07
1616493714.839	1.606	2419.99
1616493719.853	1.614	2418.95
1616493724.859	1.614	2417.84
1616493729.849	1.614	2416.76
1616493734.855	1.614	2415.85
1616493739.853	1.606	2415.19
1616493744.850	1.615	2414.30
1616493749.849	1.606	2412.88
1616493754.854	1.606	2411.67
1616493759.845	1.606	2410.90
1616493764.850	1.606	2410.17
1616493769.842	1.606	2409.24
1616493774.848	1.606	2408.14
1616493779.862	1.614	2407.05
1616493784.844	1.606	2406.21
1616493789.858	1.614	2404.98
1616493794.839	1.606	2404.16
1616493799.854	1.614	2402.66
1616493804.860	1.614	2401.33
1616493809.850	1.614	2400.41
1616493814.856	1.614	2399.64
1616493819.847	1.614	2398.83
1616493824.853	1.614	2397.30
1616493829.859	1.614	2396.03
1616493834.849	1.614	2395.05
1616493839.855	1.614	2394.08
1616493844.854	1.607	2392.63
1616493849.852	1.614	2391.53
1616493854.850	1.606	2390.37
1616493859.848	1.614	2389.16
1616493864.855	1.614	2388.24
1616493869.854	1.606	2387.11
1616493874.843	1.606	2386.22
1616493879.849	1.606	2385.29
1616493884.857	1.606	2384.25
1616493889.846	1.606	2382.91
1616493894.853	1.606	2381.14
1616493899.843	1.606	2379.97
1616493904.849	1.606	2378.93
1616493909.862	1.614	2377.81
1616493914.845	1.606	2377.08
1616493919.853	1.606	2376.10
1616493924.843	1.607	2375.05
1616493929.849	1.606	2373.97
1616493934.863	1.614	2373.03
1616493939.845	1.606	2371.75
1616493944.859	1.614	2370.65
1616493949.842	1.606	2369.70
1616493954.856	1.614	2368.64
1616493959.861	1.614	2367.83
1616493964.852	1.614	2367.01
1616493969.858	1.614	2365.72
1616493974.848	1.614	2364.82
1616493979.854	1.614	2364.07
1616493984.860	1.614	2363.19
1616493989.850	1.614	2362.24
1616493994.857	1.614	2360.83
1616493999.855	1.606	2360.02
1616494004.844	1.606	2358.95
1616494009.849	1.606	2357.79
1616494014.840	1.606	2356.51
1616494019.846	1.606	2355.56
1616494024.860	1.614	2354.61
1616494029.842	1.606	2353.15
1616494034.856	1.614	2352.03
1616494039.862	1.614	2350.53
1616494044.845	1.606	2349.64
1616494049.859	1.614	2348.82
1616494054.849	1.614	2347.80
1616494059.854	1.614	2346.73
1616494064.851	1.606	2345.76
1616494069.849	1.614	2344.63
1616494074.848	1.606	2343.55
1616494079.855	1.606	2342.48
1616494084.844	1.606	2341.38
1616494089.850	1.606	2339.71
1616494094.840	1.606	2338.58
1616494099.846	1.606	2337.54
1616494104.860	1.614	2336.72
1616494109.842	1.606	2335.45
1616494114.856	1.614	2334.14
1616494119.861	1.614	2333.09
1616494124.851	1.614	2332.31
1616494129.858	1.614	2331.55
1616494134.848	1.614	2329.97
1616494139.853	1.614	2329.12
1616494144.852	1.606	2328.14
1616494149.849	1.614	2326.84
1616494154.848	1.606	2325.58
1616494159.853	1.606	2324.42
1616494164.843	1.606	2323.62
1616494169.849	1.606	2322.88
1616494174.863	1.614	2322.13
1616494179.845	1.606	2321.40
1616494184.859	1.614	2320.45
1616494189.841	1.606	2319.01
1616494194.855	1.614	2318.09
1616494199.861	1.614	2317.14
1616494204.851	1.614	2316.10
1616494209.848	1.607	2315.12
1616494214.847	1.615	2314.11
1616494219.853	1.614	2312.89
1616494224.860	1.613	2311.68
1616494229.849	1.614	2310.59
1616494234.847	1.606	2309.12
1616494239.853	1.606	2307.79
1616494244.843	1.606	2306.79
