time (unix)	dt (s)	source (°C)
1616546773.496	0.084	23.0390
1616546784.498	0.092	23.0270
1616546806.558	0.143	23.0020
1616546817.497	0.085	22.9840
1616546828.529	0.124	22.9750
1616546839.553	0.140	22.9620
1616546850.498	0.092	22.9420
1616546861.506	0.093	22.9370
1616546872.522	0.116	22.9190
1616546883.530	0.116	22.9080
1616546894.529	0.124	22.8920
1616546905.554	0.140	22.8720
1616546916.526	0.110	22.8690
1616546927.546	0.132	22.8500
1616546938.496	0.080	22.8390
1616546949.562	0.150	22.8230
1616546960.497	0.083	22.8120
1616546971.497	0.091	22.7990
1616546982.551	0.139	22.7800
1616546993.497	0.091	22.7740
1616547004.545	0.132	22.7560
1616547026.493	0.087	22.7310
1616547037.545	0.140	22.7140
1616547048.496	0.084	22.6950
1616547059.561	0.155	22.6960
1616547070.547	0.132	22.6710
1616547081.494	0.079	22.6580
1616547092.497	0.084	22.6470
1616547103.538	0.132	22.6360
1616547114.533	0.128	22.6130
1616547125.483	0.077	22.6070
1616547136.515	0.103	22.5920
1616547147.561	0.148	22.5700
1616547158.565	0.150	22.5680
1616547169.584	0.170	22.5520
1616547180.559	0.153	22.5300
1616547191.567	0.154	22.5200
1616547202.560	0.154	22.5060
1616547213.562	0.146	22.4920
1616547224.530	0.125	22.4790
1616547246.585	0.170	22.4550
1616547257.576	0.170	22.4380
1616547268.529	0.115	22.4240
1616547279.530	0.124	22.4100
1616547290.562	0.147	22.3940
1616547301.551	0.135	22.3850
1616547312.537	0.125	22.3650
1616547323.551	0.136	22.3520
1616547334.551	0.145	22.3400
1616547345.558	0.144	22.3180
1616547356.554	0.142	22.3160
1616547367.576	0.161	22.2960
1616547378.542	0.137	22.2810
1616547389.544	0.128	22.2690
1616547400.566	0.160	22.2470
1616547411.550	0.136	22.2420
1616547422.538	0.126	22.2240
1616547433.552	0.140	22.2040
1616547444.562	0.156	22.1990
1616547466.536	0.130	22.1620
1616547477.569	0.154	22.1500
1616547488.537	0.131	22.1310
1616547499.570	0.156	22.1200
1616547510.534	0.119	22.1070
1616547521.537	0.123	22.0860
1616547532.539	0.133	22.0740
1616547543.535	0.128	22.0690
1616547554.567	0.152	22.0430
1616547565.542	0.136	22.0360
1616547576.543	0.128	22.0210
1616547587.526	0.120	21.9980
1616547598.514	0.108	21.9870
1616547609.517	0.102	21.9760
1616547620.546	0.132	21.9580
1616547631.543	0.127	21.9430
1616547642.526	0.120	21.9310
1616547653.539	0.133	21.9100
1616547664.559	0.153	21.8990
1616547686.533	0.117	21.8670
1616547697.560	0.146	21.8510
1616547708.529	0.123	21.8350
1616547719.553	0.139	21.8230
1616547730.555	0.148	21.8080
1616547741.520	0.115	21.7900
1616547752.552	0.139	21.7780
1616547763.521	0.115	21.7620
1616547774.555	0.139	21.7450
1616547785.536	0.120	21.7350
1616547796.519	0.113	21.7130
1616547807.550	0.137	21.7040
1616547818.551	0.145	21.6880
1616547829.534	0.120	21.6710
1616547840.553	0.142	21.6550
1616547851.529	0.113	21.6410
1616547862.520	0.113	21.6230
1616547873.529	0.116	21.6100
1616547884.521	0.115	21.5960
1616547906.549	0.136	21.5680
1616547917.521	0.108	21.5480
1616547928.537	0.132	21.5280
1616547939.545	0.133	21.5220
1616547950.513	0.107	21.5010
1616547961.516	0.101	21.4870
1616547972.545	0.131	21.4800
1616547983.537	0.131	21.4620
1616547994.544	0.130	21.4390
1616548005.537	0.131	21.4320
1616548016.514	0.100	21.4170
1616548027.515	0.110	21.3960
1616548038.535	0.129	21.3830
1616548049.518	0.104	21.3650
1616548060.507	0.092	21.3520
1616548071.536	0.120	21.3360
1616548082.512	0.106	21.3220
1616548093.512	0.099	21.3070
1616548104.512	0.106	21.2950
1616548126.541	0.127	21.2610
1616548137.514	0.101	21.2440
1616548148.507	0.101	21.2290
1616548159.535	0.129	21.2170
1616548170.511	0.098	21.1920
1616548181.530	0.123	21.1840
1616548192.538	0.124	21.1660
1616548203.506	0.100	21.1490
1616548214.505	0.092	21.1340
1616548225.529	0.123	21.1200
1616548236.538	0.124	21.1020
1616548247.522	0.117	21.0850
1616548258.530	0.118	21.0750
1616548269.528	0.113	21.0590
1616548280.503	0.098	21.0370
1616548291.529	0.113	21.0230
1616548302.520	0.115	21.0100
1616548313.505	0.089	20.9920
1616548324.515	0.108	20.9760
1616548346.519	0.104	20.9480
1616548357.522	0.110	20.9310
1616548368.526	0.112	20.9180
1616548379.545	0.133	20.8970
1616548390.526	0.110	20.8800
1616548401.530	0.114	20.8640
1616548412.514	0.108	20.8520
1616548423.537	0.123	20.8370
1616548434.498	0.092	20.8130
1616548445.539	0.125	20.8070
1616548456.543	0.129	20.7850
1616548467.519	0.113	20.7710
1616548478.542	0.127	20.7580
1616548489.514	0.102	20.7360
1616548500.535	0.119	20.7220
1616548511.514	0.102	20.7090
1616548522.546	0.130	20.6880
1616548533.513	0.108	20.6740
1616548544.554	0.138	20.6640
1616548566.510	0.105	20.6210
1616548577.536	0.120	20.6100
1616548588.536	0.130	20.5980
1616548599.510	0.098	20.5770
1616548610.530	0.118	20.5590
1616548621.528	0.115	20.5480
1616548632.481	0.075	20.5300
1616548643.540	0.122	20.5110
1616548654.535	0.119	20.4990
1616548665.530	0.118	20.4790
1616548676.534	0.121	20.4590
1616548687.528	0.122	20.4500
1616548698.527	0.114	20.4360
1616548709.522	0.115	20.4130
1616548720.529	0.116	20.4030
1616548731.539	0.133	20.3820
1616548742.521	0.115	20.3660
1616548753.528	0.114	20.3480
1616548764.536	0.130	20.3350
1616548786.527	0.110	20.3000
1616548797.538	0.124	20.2810
1616548808.527	0.112	20.2650
1616548819.523	0.111	20.2480
1616548830.531	0.113	20.2310
1616548841.522	0.116	20.2160
1616548852.530	0.118	20.2010
1616548863.535	0.121	20.1830
1616548874.520	0.113	20.1650
1616548885.536	0.122	20.1500
1616548896.518	0.113	20.1320
1616548907.530	0.114	20.1180
1616548918.513	0.108	20.0990
1616548929.530	0.117	20.0860
1616548940.527	0.111	20.0660
1616548951.521	0.109	20.0480
1616548962.522	0.116	20.0330
1616548973.530	0.118	20.0230
1616548984.527	0.114	19.9990
1616549006.511	0.106	19.9690
1616549017.522	0.106	19.9520
1616549028.504	0.098	19.9320
1616549039.520	0.107	19.9180
1616549050.506	0.099	19.9000
1616549061.508	0.091	19.8830
1616549072.507	0.101	19.8690
1616549083.503	0.097	19.8520
1616549094.530	0.114	19.8330
1616549105.522	0.115	19.8180
1616549116.529	0.116	19.8010
1616549127.499	0.093	19.7840
1616549138.522	0.109	19.7680
1616549149.513	0.098	19.7520
1616549160.497	0.091	19.7380
1616549171.513	0.100	19.7140
1616549182.499	0.093	19.7060
1616549193.523	0.110	19.6860
1616549204.518	0.105	19.6680
1616549226.514	0.099	19.6380
1616549237.497	0.091	19.6180
1616549248.524	0.108	19.5990
1616549259.527	0.112	19.5880
1616549270.523	0.111	19.5720
1616549281.508	0.091	19.5510
1616549292.506	0.100	19.5340
1616549303.507	0.093	19.5180
1616549314.520	0.105	19.5020
1616549325.513	0.108	19.4810
1616549336.523	0.107	19.4610
1616549347.499	0.093	19.4490
1616549358.511	0.105	19.4330
1616549369.512	0.096	19.4130
1616549380.523	0.111	19.3990
1616549391.515	0.097	19.3810
1616549402.513	0.106	19.3620
1616549413.505	0.092	19.3430
1616549424.506	0.100	19.3260
1616549446.503	0.089	19.2880
1616549457.499	0.087	19.2740
1616549468.497	0.084	19.2520
1616549479.506	0.100	19.2360
1616549490.507	0.093	19.2150
1616549501.505	0.089	19.2010
1616549512.505	0.099	19.1880
1616549523.508	0.092	19.1670
1616549534.506	0.090	19.1490
1616549545.507	0.100	19.1330
1616549556.490	0.078	19.1170
1616549578.503	0.097	19.0780
1616549589.504	0.089	19.0640
1616549600.505	0.100	19.0420
1616549611.508	0.092	19.0260
1616549622.513	0.097	19.0090
1616549633.489	0.083	18.9920
1616549644.499	0.082	18.9720
1616549666.482	0.076	18.9380
1616549677.516	0.100	18.9190
1616549688.512	0.097	18.9010
1616549699.511	0.105	18.8840
1616549710.504	0.090	18.8670
1616549721.505	0.098	18.8510
1616549732.524	0.107	18.8290
1616549743.497	0.081	18.8130
1616549754.496	0.090	18.7950
1616549765.496	0.084	18.7750
1616549776.497	0.091	18.7590
1616549787.496	0.084	18.7380
1616549798.491	0.084	18.7270
1616549809.509	0.094	18.7060
1616549820.514	0.098	18.6910
1616549831.489	0.084	18.6700
1616549842.489	0.077	18.6500
1616549853.499	0.092	18.6320
1616549864.507	0.095	18.6110
1616549886.509	0.097	18.5780
1616549897.505	0.091	18.5630
1616549908.499	0.093	18.5470
1616549919.503	0.098	18.5250
1616549930.499	0.083	18.5100
1616549941.484	0.078	18.4940
1616549952.497	0.091	18.4700
1616549963.500	0.085	18.4560
1616549974.503	0.090	18.4320
1616549985.497	0.091	18.4130
1616549996.506	0.090	18.3960
1616550007.497	0.091	18.3770
1616550018.499	0.083	18.3630
1616550029.492	0.086	18.3450
1616550040.496	0.090	18.3260
1616550051.504	0.092	18.3100
1616550062.498	0.092	18.2890
1616550073.507	0.093	18.2710
1616550084.526	0.112	18.2500
1616550106.503	0.089	18.2160
1616550117.508	0.095	18.2000
1616550128.499	0.081	18.1780
1616550139.497	0.091	18.1600
1616550150.508	0.091	18.1420
1616550161.515	0.108	18.1260
1616550172.507	0.092	18.1040
1616550183.491	0.085	18.0860
1616550194.515	0.103	18.0660
1616550205.498	0.085	18.0490
1616550216.491	0.085	18.0270
1616550227.499	0.087	18.0100
1616550238.494	0.082	17.9900
1616550249.498	0.086	17.9740
1616550260.492	0.086	17.9560
1616550271.514	0.109	17.9300
1616550282.514	0.102	17.9220
1616550293.495	0.081	17.9000
1616550304.492	0.080	17.8810
1616550326.496	0.079	17.8420
1616550337.491	0.077	17.8260
1616550348.507	0.101	17.8080
1616550359.523	0.110	17.7900
1616550370.497	0.084	17.7670
1616550381.507	0.101	17.7490
1616550392.512	0.106	17.7320
1616550403.512	0.100	17.7150
1616550414.490	0.084	17.6910
1616550425.523	0.107	17.6760
1616550436.507	0.101	17.6560
1616550447.505	0.099	17.6370
1616550458.505	0.093	17.6150
1616550469.509	0.103	17.5980
1616550480.513	0.107	17.5820
1616550491.522	0.108	17.5600
1616550502.508	0.101	17.5420
1616550513.520	0.115	17.5230
1616550524.520	0.108	17.5040
1616550546.505	0.099	17.4630
1616550557.507	0.092	17.4460
1616550568.515	0.109	17.4280
1616550579.507	0.094	17.4090
1616550590.513	0.097	17.3860
1616550601.520	0.114	17.3670
1616550612.511	0.099	17.3510
1616550623.498	0.092	17.3310
1616550634.524	0.109	17.3070
1616550645.529	0.114	17.2910
1616550656.498	0.092	17.2740
1616550667.523	0.109	17.2480
1616550678.513	0.100	17.2300
1616550689.498	0.092	17.2170
1616550700.515	0.102	17.1950
1616550711.512	0.098	17.1750
1616550722.514	0.108	17.1570
1616550733.516	0.102	17.1340
1616550744.514	0.100	17.1140
1616550766.503	0.097	17.0790
1616550777.505	0.090	17.0550
1616550788.505	0.099	17.0370
1616550799.506	0.093	17.0190
1616550810.490	0.084	16.9970
1616550821.500	0.086	16.9720
1616550832.512	0.099	16.9610
1616550843.498	0.091	16.9350
1616550854.514	0.101	16.9100
1616550865.513	0.096	16.8970
1616550876.511	0.105	16.8760
1616550887.503	0.088	16.8570
1616550898.491	0.079	16.8400
1616550909.490	0.076	16.8210
1616550920.507	0.101	16.7990
1616550931.511	0.106	16.7820
1616550942.520	0.106	16.7580
1616550953.513	0.107	16.7390
1616550964.513	0.101	16.7210
1616550986.503	0.096	16.6810
1616550997.507	0.101	16.6580
1616551008.499	0.087	16.6370
1616551019.512	0.098	16.6220
1616551030.497	0.091	16.5970
1616551041.522	0.105	16.5710
1616551052.498	0.092	16.5560
1616551063.499	0.085	16.5420
1616551074.503	0.088	16.5100
1616551085.500	0.088	16.4920
1616551096.507	0.091	16.4740
1616551107.515	0.109	16.4480
1616551118.515	0.101	16.4300
1616551129.497	0.081	16.4100
1616551140.513	0.107	16.3890
1616551151.499	0.083	16.3680
1616551162.507	0.101	16.3470
1616551173.516	0.104	16.3250
1616551184.497	0.085	16.3040
1616551206.504	0.098	16.2690
1616551217.504	0.090	16.2430
1616551228.497	0.092	16.2270
1616551239.520	0.107	16.2090
1616551250.490	0.084	16.1850
1616551261.516	0.101	16.1700
1616551272.504	0.089	16.1410
1616551283.504	0.097	16.1240
1616551294.514	0.099	16.1030
1616551305.505	0.100	16.0830
1616551316.517	0.100	16.0620
1616551327.546	0.130	16.0420
1616551338.498	0.092	16.0200
1616551349.499	0.087	16.0020
1616551360.505	0.091	15.9780
1616551371.507	0.101	15.9610
1616551382.501	0.089	15.9390
1616551393.540	0.126	15.9150
1616551404.547	0.131	15.8960
1616551426.511	0.105	15.8550
1616551437.539	0.124	15.8300
1616551448.535	0.121	15.8120
1616551459.498	0.091	15.7890
1616551470.540	0.124	15.7710
1616551481.505	0.092	15.7510
1616551492.499	0.093	15.7250
1616551503.539	0.127	15.7070
1616551514.530	0.118	15.6840
1616551525.528	0.114	15.6620
1616551536.498	0.092	15.6470
1616551547.508	0.095	15.6150
1616551558.537	0.125	15.6040
1616551569.531	0.125	15.5750
1616551580.497	0.091	15.5600
1616551591.538	0.124	15.5360
1616551602.528	0.111	15.5120
1616551613.500	0.087	15.4920
1616551624.497	0.083	15.4700
1616551646.519	0.113	15.4290
1616551657.495	0.081	15.4070
1616551668.522	0.110	15.3820
1616551679.528	0.113	15.3640
1616551690.487	0.082	15.3370
1616551701.498	0.081	15.3170
1616551712.522	0.116	15.2960
1616551723.531	0.119	15.2730
1616551734.529	0.116	15.2500
1616551745.524	0.117	15.2300
1616551756.529	0.122	15.2090
1616551767.521	0.109	15.1870
1616551778.491	0.085	15.1650
1616551789.524	0.112	15.1430
1616551800.529	0.114	15.1210
1616551811.513	0.106	15.0950
1616551822.522	0.104	15.0760
1616551833.522	0.115	15.0510
1616551844.531	0.117	15.0300
1616551866.518	0.105	14.9860
1616551877.539	0.127	14.9650
1616551888.538	0.121	14.9460
1616551899.514	0.108	14.9220
1616551910.514	0.100	14.8990
1616551921.515	0.109	14.8820
1616551932.514	0.102	14.8520
1616551943.521	0.107	14.8290
1616551954.523	0.118	14.8160
1616551965.514	0.108	14.7850
1616551976.530	0.116	14.7650
1616551987.530	0.114	14.7500
1616551998.522	0.116	14.7210
1616552009.531	0.117	14.6970
1616552020.529	0.114	14.6790
1616552031.522	0.116	14.6540
1616552042.531	0.119	14.6370
1616552053.529	0.112	14.6100
1616552064.529	0.122	14.5860
1616552086.513	0.098	14.5350
1616552097.512	0.106	14.5180
1616552108.513	0.099	14.4980
1616552119.515	0.109	14.4750
1616552130.523	0.110	14.4500
1616552141.514	0.100	14.4280
1616552152.516	0.109	14.4030
1616552174.513	0.099	14.3580
1616552185.515	0.108	14.3390
1616552196.507	0.094	14.3120
1616552207.520	0.106	14.2930
1616552218.520	0.114	14.2660
1616552229.513	0.100	14.2430
1616552240.507	0.101	14.2180
1616552251.516	0.104	14.2000
1616552262.515	0.099	14.1730
1616552273.515	0.109	14.1460
1616552284.524	0.111	14.1350
1616552306.503	0.088	14.0770
1616552317.500	0.085	14.0600
1616552328.506	0.092	14.0270
1616552339.498	0.092	14.0160
1616552350.500	0.086	13.9890
1616552361.505	0.091	13.9620
1616552372.490	0.084	13.9380
1616552383.506	0.092	13.9180
1616552394.515	0.109	13.8970
1616552405.515	0.103	13.8680
1616552416.498	0.084	13.8520
1616552427.491	0.085	13.8190
1616552438.508	0.096	13.7960
1616552449.503	0.091	13.7780
1616552460.512	0.106	13.7500
1616552471.512	0.100	13.7240
1616552482.499	0.092	13.7080
1616552493.499	0.087	13.6760
1616552504.506	0.093	13.6590
1616552526.497	0.092	13.6030
1616552537.491	0.077	13.5890
1616552548.507	0.101	13.5590
1616552559.496	0.090	13.5320
1616552570.512	0.099	13.5120
1616552581.491	0.084	13.4880
1616552592.499	0.084	13.4620
1616552603.492	0.087	13.4420
1616552614.489	0.083	13.4160
1616552625.505	0.093	13.3910
1616552636.508	0.102	13.3720
1616552647.513	0.107	13.3390
1616552658.489	0.077	13.3190
1616552669.491	0.085	13.2970
1616552680.507	0.095	13.2700
1616552691.506	0.093	13.2430
1616552702.500	0.094	13.2200
1616552713.498	0.092	13.1990
1616552724.500	0.086	13.1690
1616552746.509	0.096	13.1280
1616552757.507	0.092	13.0950
1616552768.492	0.086	13.0740
1616552779.490	0.084	13.0490
1616552790.499	0.083	13.0250
1616552801.482	0.076	13.0020
1616552812.500	0.086	12.9740
1616552823.505	0.091	12.9500
1616552834.491	0.085	12.9280
1616552845.501	0.087	12.8970
1616552856.517	0.101	12.8800
1616552867.497	0.084	12.8490
1616552878.500	0.095	12.8250
1616552889.506	0.100	12.8070
1616552900.498	0.085	12.7740
1616552911.507	0.101	12.7520
1616552922.499	0.086	12.7250
1616552933.505	0.090	12.7040
1616552944.489	0.083	12.6730
1616552966.512	0.098	12.6280
1616552977.499	0.092	12.5940
1616552988.500	0.088	12.5800
1616552999.514	0.099	12.5470
1616553010.483	0.077	12.5250
1616553021.508	0.095	12.4980
1616553032.490	0.077	12.4750
1616553043.492	0.086	12.4480
1616553054.506	0.099	12.4190
1616553065.510	0.094	12.3970
1616553076.514	0.098	12.3680
1616553087.491	0.085	12.3430
1616553098.500	0.088	12.3230
1616553109.499	0.084	12.2920
1616553120.501	0.095	12.2690
1616553131.490	0.085	12.2410
1616553142.500	0.086	12.2170
1616553153.505	0.092	12.1860
1616553164.483	0.076	12.1660
1616553186.508	0.092	12.1080
1616553197.515	0.098	12.0860
1616553208.498	0.093	12.0610
1616553219.509	0.096	12.0330
1616553230.491	0.075	12.0030
1616553241.491	0.085	11.9810
1616553252.507	0.095	11.9570
1616553263.504	0.092	11.9220
1616553274.482	0.077	11.9060
1616553285.492	0.077	11.8750
1616553296.506	0.090	11.8510
1616553307.499	0.093	11.8270
1616553318.499	0.087	11.7950
1616553329.505	0.093	11.7780
1616553340.508	0.102	11.7450
1616553351.491	0.085	11.7170
1616553362.500	0.088	11.6940
1616553373.501	0.084	11.6630
1616553384.514	0.100	11.6390
1616553406.506	0.100	11.5800
1616553417.516	0.104	11.5530
1616553428.505	0.093	11.5310
1616553439.493	0.087	11.5040
1616553450.499	0.094	11.4740
1616553461.506	0.099	11.4460
1616553472.516	0.102	11.4210
1616553483.498	0.084	11.3920
1616553494.508	0.102	11.3630
1616553505.498	0.092	11.3330
1616553516.509	0.095	11.3130
1616553527.499	0.087	11.2800
1616553538.498	0.084	11.2560
1616553549.483	0.078	11.2280
1616553560.497	0.092	11.2000
1616553571.506	0.092	11.1730
1616553582.500	0.095	11.1490
1616553593.490	0.084	11.1150
1616553604.499	0.084	11.0910
1616553626.492	0.086	11.0310
1616553637.505	0.100	11.0080
1616553648.500	0.084	10.9790
1616553659.484	0.078	10.9520
1616553670.490	0.085	10.9230
1616553681.509	0.095	10.8930
1616553692.490	0.078	10.8680
1616553703.500	0.094	10.8330
1616553714.497	0.091	10.8130
1616553725.509	0.093	10.7810
1616553736.515	0.102	10.7440
1616553747.499	0.084	10.7290
1616553758.500	0.094	10.6950
1616553769.490	0.083	10.6650
1616553780.507	0.095	10.6470
1616553791.514	0.100	10.6040
1616553802.491	0.085	10.5860
1616553813.517	0.104	10.5570
1616553824.509	0.093	10.5150
1616553846.510	0.097	10.4620
1616553857.498	0.086	10.4390
1616553868.498	0.083	10.4220
1616553879.492	0.086	10.3740
1616553890.489	0.084	10.3590
1616553901.506	0.094	10.3270
1616553912.512	0.097	10.2880
1616553923.497	0.092	10.2710
1616553934.493	0.077	10.2360
1616553956.511	0.097	10.1770
1616553967.508	0.094	10.1520
1616553978.505	0.093	10.1230
1616553989.507	0.101	10.0900
1616554000.499	0.087	10.0630
1616554011.506	0.092	10.0320
1616554022.491	0.085	10.0070
1616554033.501	0.088	9.9670
1616554044.501	0.084	9.9490
1616554066.496	0.083	9.8820
1616554077.505	0.100	9.8560
1616554088.507	0.093	9.8270
1616554099.515	0.098	9.7950
1616554110.500	0.093	9.7660
1616554121.498	0.092	9.7380
1616554132.513	0.099	9.7060
1616554143.491	0.084	9.6760
1616554154.517	0.103	9.6440
1616554165.505	0.093	9.6170
1616554176.501	0.095	9.5840
1616554187.507	0.101	9.5540
1616554198.509	0.095	9.5250
1616554209.508	0.093	9.4900
1616554220.513	0.098	9.4650
1616554231.506	0.101	9.4310
1616554242.500	0.087	9.4040
1616554253.513	0.101	9.3740
1616554264.499	0.094	9.3410
1616554286.505	0.098	9.2790
1616554297.498	0.085	9.2490
1616554308.500	0.095	9.2160
1616554319.492	0.086	9.1900
1616554330.496	0.091	9.1530
1616554341.513	0.100	9.1280
1616554352.492	0.086	9.0920
1616554363.498	0.093	9.0620
1616554374.500	0.087	9.0310
1616554385.518	0.100	9.0020
1616554396.516	0.101	8.9680
1616554407.515	0.100	8.9360
1616554418.509	0.103	8.9040
1616554429.490	0.084	8.8710
1616554440.518	0.102	8.8430
1616554451.499	0.087	8.8070
1616554462.491	0.077	8.7800
1616554473.493	0.087	8.7430
1616554484.491	0.085	8.7150
1616554506.518	0.103	8.6460
1616554517.517	0.100	8.6200
1616554528.499	0.084	8.5830
1616554539.509	0.103	8.5560
1616554550.484	0.077	8.5210
1616554561.510	0.097	8.4840
1616554572.502	0.090	8.4590
1616554583.508	0.095	8.4270
1616554594.506	0.093	8.3850
1616554605.493	0.086	8.3620
1616554616.498	0.092	8.3270
1616554627.501	0.087	8.2930
1616554638.518	0.101	8.2650
1616554649.508	0.091	8.2230
1616554660.493	0.088	8.2000
1616554671.499	0.093	8.1590
1616554682.509	0.097	8.1310
1616554693.508	0.094	8.1000
1616554704.507	0.093	8.0600
1616554726.502	0.090	7.9970
1616554737.498	0.092	7.9620
1616554748.501	0.086	7.9350
1616554759.514	0.101	7.8920
1616554770.526	0.121	7.8610
1616554781.529	0.112	7.8360
1616554792.499	0.093	7.7840
1616554803.490	0.084	7.7720
1616554814.499	0.084	7.7210
1616554825.501	0.094	7.6910
1616554836.514	0.108	7.6630
1616554847.518	0.103	7.6140
1616554858.501	0.085	7.5940
1616554869.523	0.109	7.5600
1616554880.497	0.083	7.5140
1616554891.517	0.111	7.4950
1616554902.515	0.110	7.4450
1616554913.490	0.085	7.4200
1616554924.500	0.086	7.3890
1616554946.497	0.083	7.3170
1616554957.514	0.109	7.2830
1616554968.525	0.112	7.2370
1616554979.516	0.102	7.2190
1616554990.514	0.101	7.1700
1616555001.521	0.104	7.1400
1616555012.489	0.083	7.1110
1616555023.499	0.086	7.0620
1616555034.530	0.114	7.0360
1616555045.492	0.086	6.9990
1616555056.506	0.101	6.9610
1616555067.525	0.111	6.9320
1616555078.491	0.077	6.8850
1616555089.509	0.102	6.8630
1616555100.482	0.076	6.8200
1616555111.509	0.094	6.7800
1616555122.523	0.110	6.7570
1616555133.514	0.101	6.7060
1616555144.514	0.097	6.6800
1616555166.529	0.123	6.5980
1616555177.500	0.084	6.5730
1616555199.528	0.114	6.5010
1616555210.522	0.117	6.4560
1616555221.507	0.095	6.4220
1616555232.523	0.109	6.3910
1616555243.522	0.106	6.3440
1616555254.500	0.093	6.3120
1616555265.505	0.099	6.2770
1616555276.526	0.108	6.2330
1616555287.523	0.111	6.2090
1616555298.525	0.107	6.1580
1616555309.514	0.099	6.1280
1616555320.500	0.094	6.0940
1616555331.514	0.109	6.0430
1616555342.500	0.086	6.0220
1616555353.523	0.108	5.9700
1616555364.498	0.083	5.9450
1616555386.506	0.101	5.8610
1616555397.526	0.113	5.8280
1616555408.515	0.103	5.7810
1616555419.506	0.093	5.7530
1616555430.518	0.111	5.7110
1616555441.493	0.087	5.6710
1616555452.516	0.110	5.6410
1616555463.514	0.108	5.5900
1616555474.509	0.095	5.5640
1616555485.494	0.077	5.5320
1616555496.508	0.094	5.4830
1616555507.505	0.093	5.4660
1616555518.501	0.095	5.4200
1616555529.508	0.103	5.3880
1616555540.507	0.101	5.3620
1616555551.508	0.096	5.3150
1616555562.508	0.092	5.2990
1616555573.516	0.100	5.2580
1616555584.508	0.091	5.2290
1616555595.501	0.095	5.2040
1616555606.499	0.093	5.1680
1616555617.497	0.091	5.1470
1616555628.509	0.094	5.1130
1616555639.497	0.085	5.0830
1616555650.499	0.094	5.0630
1616555661.498	0.092	5.0310
1616555672.524	0.111	5.0060
1616555683.496	0.084	4.9780
1616555694.516	0.111	4.9520
1616555705.506	0.100	4.9320
1616555716.517	0.103	4.8990
1616555727.509	0.093	4.8770
1616555738.522	0.109	4.8590
1616555749.521	0.107	4.8310
1616555760.499	0.093	4.8130
1616555771.514	0.108	4.7880
1616555782.500	0.086	4.7610
1616555793.521	0.107	4.7440
1616555804.518	0.112	4.7220
1616555815.494	0.087	4.7020
1616555826.500	0.094	4.6830
1616555837.513	0.108	4.6630
1616555848.494	0.078	4.6450
1616555859.509	0.092	4.6240
1616555870.514	0.100	4.6050
1616555881.493	0.088	4.5840
1616555892.492	0.085	4.5710
1616555903.505	0.099	4.5500
1616555914.517	0.101	4.5330
1616555925.491	0.077	4.5200
1616555936.507	0.091	4.4950
1616555947.501	0.095	4.4810
1616555958.500	0.094	4.4710
1616555969.508	0.102	4.4480
1616555980.490	0.084	4.4360
1616555991.514	0.103	4.4130
1616556002.499	0.086	4.4080
1616556013.562	0.147	4.3880
1616556024.510	0.104	4.3710
1616556035.510	0.104	4.3650
1616556046.510	0.105	4.3410
1616556057.563	0.146	4.3330
1616556068.504	0.089	4.3230
1616556079.506	0.100	4.3010
1616556090.509	0.095	4.2930
1616556101.538	0.127	4.2800
1616556112.498	0.085	4.2660
1616556123.534	0.128	4.2570
1616556134.507	0.102	4.2420
1616556145.500	0.095	4.2300
1616556156.492	0.085	4.2250
1616556167.500	0.094	4.2070
1616556178.500	0.094	4.1980
1616556189.532	0.126	4.1870
1616556200.506	0.100	4.1720
1616556211.508	0.093	4.1650
1616556222.506	0.092	4.1550
1616556233.501	0.095	4.1390
1616556244.548	0.143	4.1360
1616556255.492	0.086	4.1200
1616556266.547	0.140	4.1130
1616556277.544	0.138	4.1060
1616556288.547	0.133	4.0950
1616556299.523	0.109	4.0850
1616556310.546	0.132	4.0800
1616556321.498	0.081	4.0670
1616556332.491	0.085	4.0570
1616556343.524	0.111	4.0590
1616556354.522	0.110	4.0420
1616556365.522	0.107	4.0360
1616556376.517	0.112	4.0310
1616556387.518	0.112	4.0190
1616556398.485	0.079	4.0160
1616556409.547	0.141	4.0090
1616556420.545	0.139	3.9990
1616556431.540	0.125	3.9930
1616556442.489	0.076	3.9870
1616556453.532	0.126	3.9790
1616556464.555	0.149	3.9710
1616556475.513	0.108	3.9660
1616556486.493	0.077	3.9630
1616556497.516	0.102	3.9530
1616556508.540	0.126	3.9460
1616556519.554	0.142	3.9430
1616556530.554	0.140	3.9370
1616556541.563	0.148	3.9250
1616556552.553	0.140	3.9240
1616556563.508	0.103	3.9210
1616556574.555	0.150	3.9090
1616556585.546	0.140	3.9120
1616556596.530	0.124	3.9010
1616556607.559	0.145	3.8950
1616556618.529	0.123	3.8900
1616556629.548	0.134	3.8870
1616556640.556	0.138	3.8750
1616556651.577	0.161	3.8800
1616556662.533	0.127	3.8740
1616556673.531	0.126	3.8670
1616556684.540	0.133	3.8600
1616556695.522	0.116	3.8630
1616556706.541	0.127	3.8520
1616556717.541	0.127	3.8510
1616556728.547	0.134	3.8420
1616556739.547	0.134	3.8420
1616556750.571	0.159	3.8320
1616556761.547	0.133	3.8310
1616556772.539	0.126	3.8310
1616556783.553	0.140	3.8170
1616556794.555	0.138	3.8240
1616556805.547	0.141	3.8140
1616556816.563	0.157	3.8130
1616556827.540	0.134	3.8110
1616556838.530	0.124	3.8010
1616556849.540	0.126	3.8000
