time (unix)	dt (s)	source (°C)
1616493203.505	0.093	21.1420
1616493214.513	0.107	21.1310
1616493225.511	0.099	21.1070
1616493236.511	0.105	21.1020
1616493247.511	0.095	21.0830
1616493258.519	0.106	21.0640
1616493269.510	0.105	21.0540
1616493280.509	0.093	21.0380
1616493291.511	0.098	21.0190
1616493302.510	0.105	21.0040
1616493313.505	0.100	20.9860
1616493324.505	0.090	20.9700
1616493335.497	0.091	20.9560
1616493346.502	0.090	20.9400
1616493357.507	0.094	20.9210
1616493368.509	0.095	20.9060
1616493379.521	0.108	20.8940
1616493401.500	0.094	20.8610
1616493412.496	0.090	20.8410
1616493423.513	0.095	20.8260
1616493434.509	0.104	20.8130
1616493445.504	0.098	20.7990
1616493456.511	0.097	20.7830
1616493467.499	0.085	20.7620
1616493478.502	0.088	20.7500
1616493489.513	0.100	20.7360
1616493500.505	0.099	20.7200
1616493511.502	0.090	20.6960
1616493522.505	0.092	20.6860
1616493533.512	0.106	20.6670
1616493544.502	0.088	20.6490
1616493555.504	0.091	20.6350
1616493566.503	0.096	20.6200
1616493577.507	0.101	20.6010
1616493588.497	0.084	20.5840
1616493599.499	0.092	20.5710
1616493621.502	0.084	20.5380
1616493632.503	0.089	20.5230
1616493643.487	0.081	20.5030
1616493654.511	0.095	20.4900
1616493665.496	0.084	20.4720
1616493676.497	0.090	20.4580
1616493687.513	0.096	20.4420
1616493698.495	0.090	20.4240
1616493709.495	0.080	20.4080
1616493720.505	0.093	20.3910
1616493731.513	0.107	20.3750
1616493742.503	0.091	20.3590
1616493753.495	0.090	20.3430
1616493764.503	0.089	20.3260
1616493775.510	0.105	20.3100
1616493786.495	0.080	20.2940
1616493797.505	0.092	20.2780
1616493808.490	0.084	20.2620
1616493819.522	0.106	20.2430
1616493841.500	0.094	20.2140
1616493852.512	0.107	20.1970
1616493863.520	0.104	20.1780
1616493874.503	0.097	20.1610
1616493885.511	0.095	20.1480
1616493896.505	0.092	20.1310
1616493907.490	0.084	20.1110
1616493918.497	0.084	20.1000
1616493929.498	0.092	20.0760
1616493940.513	0.101	20.0660
1616493951.496	0.090	20.0460
1616493962.526	0.113	20.0290
1616493973.514	0.100	20.0120
1616493984.483	0.076	20.0020
1616493995.511	0.099	19.9770
1616494006.496	0.090	19.9660
1616494017.526	0.111	19.9460
1616494028.498	0.084	19.9270
1616494039.490	0.084	19.9140
1616494061.501	0.087	19.8780
1616494072.512	0.098	19.8610
1616494083.504	0.097	19.8460
1616494094.519	0.104	19.8290
1616494105.505	0.093	19.8160
1616494116.504	0.098	19.7910
1616494127.506	0.088	19.7790
1616494138.489	0.083	19.7660
1616494149.497	0.085	19.7440
1616494160.497	0.092	19.7280
1616494171.491	0.076	19.7110
1616494182.514	0.109	19.6950
1616494193.513	0.100	19.6760
1616494204.496	0.090	19.6600
1616494215.524	0.106	19.6440
1616494226.513	0.107	19.6280
1616494237.512	0.096	19.6080
1616494248.486	0.080	19.5880
1616494259.490	0.084	19.5770
1616494281.516	0.100	19.5390
1616494292.495	0.080	19.5240
1616494303.505	0.092	19.5020
1616494314.504	0.098	19.4860
1616494325.536	0.123	19.4710
1616494336.512	0.107	19.4530
1616494347.526	0.114	19.4330
1616494369.508	0.095	19.4030
1616494380.529	0.113	19.3860
1616494391.512	0.106	19.3720
1616494402.538	0.120	19.3510
1616494413.518	0.112	19.3370
1616494424.514	0.109	19.3190
1616494435.520	0.108	19.3020
1616494446.519	0.113	19.2880
1616494457.511	0.097	19.2670
1616494468.502	0.096	19.2480
1616494479.513	0.108	19.2340
1616494512.510	0.097	19.1780
1616494523.506	0.092	19.1630
1616494534.521	0.116	19.1440
1616494545.521	0.108	19.1250
1616494556.513	0.108	19.1060
1616494567.529	0.114	19.0950
1616494578.520	0.115	19.0770
1616494589.512	0.097	19.0530
1616494600.503	0.097	19.0360
1616494611.518	0.103	19.0250
1616494622.520	0.108	19.0010
1616494633.519	0.113	18.9870
1616494644.518	0.104	18.9680
1616494655.514	0.100	18.9470
1616494666.513	0.107	18.9320
1616494677.513	0.096	18.9140
1616494688.510	0.104	18.8930
1616494699.513	0.108	18.8780
1616494721.511	0.095	18.8410
1616494732.505	0.092	18.8270
1616494743.504	0.098	18.8090
1616494754.518	0.104	18.7920
1616494765.491	0.077	18.7750
1616494776.500	0.093	18.7590
1616494787.502	0.096	18.7400
1616494798.513	0.106	18.7200
1616494809.519	0.107	18.6950
1616494820.511	0.105	18.6840
1616494831.512	0.096	18.6650
1616494842.507	0.094	18.6480
1616494853.527	0.114	18.6280
1616494864.511	0.105	18.6090
1616494875.512	0.097	18.5920
1616494886.510	0.104	18.5740
1616494897.506	0.100	18.5550
1616494908.504	0.092	18.5410
1616494919.505	0.099	18.5200
1616494941.499	0.087	18.4820
1616494952.510	0.098	18.4670
1616494963.522	0.108	18.4440
1616494974.490	0.084	18.4280
1616494985.522	0.109	18.4140
1616494996.503	0.088	18.3940
1616495007.497	0.083	18.3730
1616495018.504	0.098	18.3520
1616495029.521	0.107	18.3340
1616495040.514	0.107	18.3150
1616495051.520	0.108	18.2950
1616495062.490	0.084	18.2790
1616495073.499	0.085	18.2600
1616495084.502	0.088	18.2430
1616495095.513	0.099	18.2230
1616495106.495	0.090	18.2090
1616495117.519	0.104	18.1870
1616495128.497	0.084	18.1720
1616495139.513	0.107	18.1510
1616495161.499	0.084	18.1180
1616495172.520	0.104	18.1000
1616495183.509	0.103	18.0800
1616495194.513	0.107	18.0600
1616495205.511	0.099	18.0410
1616495216.506	0.100	18.0220
1616495227.497	0.084	18.0000
1616495238.505	0.099	17.9830
1616495249.544	0.129	17.9660
1616495260.513	0.107	17.9500
1616495271.513	0.097	17.9260
1616495282.496	0.090	17.9050
1616495293.510	0.099	17.8920
1616495304.502	0.095	17.8750
1616495315.536	0.130	17.8530
1616495326.543	0.128	17.8310
1616495337.534	0.128	17.8190
1616495348.536	0.130	17.7980
1616495359.512	0.097	17.7820
1616495381.490	0.086	17.7440
1616495392.533	0.119	17.7180
1616495403.505	0.089	17.7020
1616495414.536	0.130	17.6890
1616495425.505	0.090	17.6620
1616495436.529	0.123	17.6430
1616495447.545	0.130	17.6300
1616495458.530	0.124	17.6080
1616495469.512	0.099	17.5850
1616495480.528	0.122	17.5710
1616495491.504	0.091	17.5520
1616495502.505	0.099	17.5300
1616495513.533	0.122	17.5090
1616495524.530	0.118	17.4940
1616495535.544	0.129	17.4750
1616495546.527	0.121	17.4530
1616495557.527	0.112	17.4350
1616495568.495	0.088	17.4140
1616495579.499	0.092	17.3970
1616495601.495	0.082	17.3570
1616495612.518	0.113	17.3380
1616495623.528	0.112	17.3140
1616495645.517	0.103	17.2810
1616495656.521	0.107	17.2590
1616495667.496	0.090	17.2410
1616495678.521	0.107	17.2240
1616495689.489	0.084	17.2070
1616495700.522	0.107	17.1800
1616495711.521	0.116	17.1640
1616495722.528	0.116	17.1470
1616495733.514	0.109	17.1200
1616495744.489	0.076	17.1050
1616495755.522	0.116	17.0890
1616495766.529	0.116	17.0590
1616495777.507	0.102	17.0410
1616495788.527	0.122	17.0280
1616495799.520	0.108	17.0100
1616495821.519	0.113	16.9680
1616495832.535	0.122	16.9470
1616495843.529	0.123	16.9230
1616495854.528	0.114	16.9050
1616495865.521	0.115	16.8840
1616495876.529	0.114	16.8660
1616495887.527	0.122	16.8490
1616495898.538	0.120	16.8270
1616495909.527	0.122	16.8080
1616495920.520	0.108	16.7910
1616495931.522	0.116	16.7710
1616495942.530	0.116	16.7530
1616495953.506	0.100	16.7250
1616495964.513	0.099	16.7080
1616495975.521	0.115	16.6890
1616495986.520	0.108	16.6690
1616495997.523	0.116	16.6540
1616496008.517	0.112	16.6270
1616496019.515	0.108	16.6080
1616496041.527	0.112	16.5680
1616496052.512	0.107	16.5460
1616496063.514	0.097	16.5350
1616496074.514	0.108	16.5060
1616496085.513	0.100	16.4860
1616496096.512	0.106	16.4680
1616496107.507	0.093	16.4430
1616496118.519	0.104	16.4230
1616496129.514	0.102	16.4030
1616496140.521	0.105	16.3830
1616496151.506	0.100	16.3650
1616496162.514	0.100	16.3420
1616496173.514	0.107	16.3200
1616496184.521	0.107	16.3070
1616496195.522	0.115	16.2770
1616496206.513	0.100	16.2590
1616496228.501	0.096	16.2180
1616496239.504	0.098	16.1970
1616496261.508	0.096	16.1560
1616496272.513	0.100	16.1350
1616496283.515	0.109	16.1180
1616496294.507	0.095	16.0920
1616496305.511	0.098	16.0710
1616496316.498	0.093	16.0600
1616496327.506	0.092	16.0290
1616496338.500	0.094	16.0100
1616496349.497	0.091	15.9950
1616496360.508	0.091	15.9720
1616496371.499	0.092	15.9460
1616496382.513	0.100	15.9290
1616496393.514	0.108	15.9070
1616496404.497	0.085	15.8830
1616496415.508	0.101	15.8670
1616496426.495	0.089	15.8420
1616496437.505	0.090	15.8230
1616496448.504	0.097	15.8010
1616496459.513	0.099	15.7800
1616496481.494	0.087	15.7380
1616496492.498	0.092	15.7170
1616496503.507	0.094	15.6950
1616496514.503	0.089	15.6740
1616496525.496	0.091	15.6530
1616496536.513	0.100	15.6330
1616496547.497	0.091	15.6080
1616496558.516	0.100	15.5900
1616496569.521	0.106	15.5650
1616496580.504	0.098	15.5500
1616496591.511	0.099	15.5240
1616496602.503	0.097	15.5010
1616496613.520	0.106	15.4840
1616496624.503	0.096	15.4600
1616496635.492	0.086	15.4360
1616496646.505	0.099	15.4170
1616496657.514	0.096	15.3970
1616496668.505	0.099	15.3730
1616496679.522	0.107	15.3520
1616496701.493	0.087	15.3070
1616496712.512	0.106	15.2920
1616496723.511	0.099	15.2630
1616496734.497	0.091	15.2400
1616496745.514	0.099	15.2220
1616496756.506	0.100	15.1990
1616496767.505	0.090	15.1790
1616496778.498	0.093	15.1550
1616496789.506	0.092	15.1330
1616496800.492	0.086	15.1120
1616496811.503	0.097	15.0860
1616496822.513	0.098	15.0680
1616496833.507	0.100	15.0480
1616496844.498	0.086	15.0200
1616496855.512	0.097	15.0030
1616496866.496	0.091	14.9820
1616496877.495	0.082	14.9560
1616496888.515	0.103	14.9320
1616496899.512	0.098	14.9110
1616496921.500	0.095	14.8690
1616496932.497	0.092	14.8460
1616496943.495	0.083	14.8260
1616496954.495	0.089	14.8050
1616496965.497	0.083	14.7860
1616496976.505	0.100	14.7620
1616496987.513	0.097	14.7370
1616496998.490	0.085	14.7150
1616497009.507	0.093	14.6910
1616497020.506	0.100	14.6660
1616497031.516	0.102	14.6470
1616497042.511	0.100	14.6210
1616497053.496	0.091	14.6020
1616497064.506	0.088	14.5780
1616497075.495	0.089	14.5540
1616497086.504	0.090	14.5360
1616497097.491	0.084	14.5120
1616497108.516	0.102	14.4850
1616497119.519	0.106	14.4660
1616497141.492	0.086	14.4230
1616497152.513	0.107	14.3930
1616497163.497	0.084	14.3740
1616497174.498	0.093	14.3520
1616497185.499	0.086	14.3260
1616497196.512	0.098	14.3030
1616497207.512	0.106	14.2830
1616497218.506	0.088	14.2580
1616497229.504	0.098	14.2320
1616497240.506	0.092	14.2140
1616497251.499	0.092	14.1870
1616497262.499	0.086	14.1680
1616497273.520	0.105	14.1440
1616497284.504	0.098	14.1190
1616497295.519	0.105	14.0980
1616497306.503	0.098	14.0730
1616497317.497	0.083	14.0510
1616497328.512	0.107	14.0280
1616497339.506	0.090	14.0020
1616497361.500	0.095	13.9580
1616497372.497	0.092	13.9300
1616497383.499	0.084	13.9080
1616497394.508	0.102	13.8840
1616497405.513	0.107	13.8630
1616497416.499	0.084	13.8410
1616497427.507	0.101	13.8120
1616497438.486	0.080	13.7940
1616497449.491	0.084	13.7650
1616497460.489	0.076	13.7420
1616497471.514	0.108	13.7190
1616497482.497	0.084	13.6970
1616497493.505	0.099	13.6670
1616497504.505	0.089	13.6490
1616497515.496	0.090	13.6250
1616497526.496	0.084	13.5950
1616497537.504	0.099	13.5770
1616497548.513	0.097	13.5520
1616497559.512	0.106	13.5250
1616497581.500	0.087	13.4750
1616497592.513	0.101	13.4570
1616497603.483	0.077	13.4290
1616497614.506	0.095	13.4090
1616497625.504	0.090	13.3830
1616497636.512	0.106	13.3560
1616497647.503	0.090	13.3320
1616497658.482	0.076	13.3130
1616497669.499	0.084	13.2830
1616497680.492	0.086	13.2590
1616497691.497	0.091	13.2390
1616497702.506	0.093	13.2100
1616497713.491	0.085	13.1890
1616497724.507	0.095	13.1610
1616497735.518	0.105	13.1390
1616497746.497	0.085	13.1180
1616497757.490	0.084	13.0850
1616497768.506	0.093	13.0680
1616497779.503	0.088	13.0390
1616497801.501	0.089	12.9920
1616497812.508	0.094	12.9660
1616497823.496	0.082	12.9420
1616497834.512	0.106	12.9150
1616497845.512	0.099	12.8900
1616497856.497	0.092	12.8690
1616497867.506	0.091	12.8390
1616497878.491	0.084	12.8170
1616497889.497	0.085	12.7890
1616497900.491	0.086	12.7660
1616497911.515	0.103	12.7440
1616497922.512	0.100	12.7160
1616497933.497	0.091	12.6910
1616497944.498	0.083	12.6670
1616497955.506	0.100	12.6420
1616497966.506	0.093	12.6170
1616497977.493	0.086	12.5880
1616497988.496	0.090	12.5670
1616497999.520	0.107	12.5380
1616498021.504	0.099	12.4840
1616498032.513	0.097	12.4600
1616498043.506	0.099	12.4360
1616498054.491	0.077	12.4060
1616498065.513	0.098	12.3900
1616498076.489	0.083	12.3520
1616498087.515	0.098	12.3330
1616498098.491	0.084	12.3110
1616498109.498	0.085	12.2780
1616498120.491	0.085	12.2570
1616498131.500	0.088	12.2320
1616498142.507	0.090	12.1980
1616498153.491	0.085	12.1790
1616498164.505	0.092	12.1520
1616498175.490	0.084	12.1220
1616498186.514	0.101	12.0990
1616498197.506	0.100	12.0700
1616498208.522	0.110	12.0490
1616498219.504	0.091	12.0220
1616498241.510	0.104	11.9710
1616498252.491	0.085	11.9400
1616498263.514	0.100	11.9140
1616498274.492	0.086	11.8920
1616498285.490	0.084	11.8610
1616498296.498	0.084	11.8380
1616498307.491	0.085	11.8060
1616498318.515	0.103	11.7900
1616498329.495	0.082	11.7560
1616498340.496	0.089	11.7270
1616498351.512	0.099	11.7050
1616498362.498	0.093	11.6750
1616498373.498	0.085	11.6480
1616498384.498	0.093	11.6230
1616498395.500	0.086	11.5960
1616498406.497	0.084	11.5660
1616498417.508	0.101	11.5380
1616498428.504	0.099	11.5170
1616498439.515	0.099	11.4840
1616498461.503	0.097	11.4340
1616498472.515	0.102	11.4050
1616498483.504	0.090	11.3800
1616498494.505	0.099	11.3470
1616498505.515	0.099	11.3290
1616498516.489	0.084	11.2960
1616498527.507	0.091	11.2690
1616498538.499	0.093	11.2440
1616498549.504	0.098	11.2150
1616498560.513	0.100	11.1870
1616498571.505	0.098	11.1590
1616498582.497	0.084	11.1320
1616498593.508	0.102	11.1040
1616498604.506	0.100	11.0750
1616498615.505	0.093	11.0500
1616498626.491	0.084	11.0170
1616498637.507	0.094	10.9900
1616498648.503	0.088	10.9630
1616498659.499	0.086	10.9330
1616498681.525	0.112	10.8770
1616498692.498	0.084	10.8540
1616498703.490	0.084	10.8230
1616498714.522	0.108	10.7950
1616498725.516	0.110	10.7680
1616498736.497	0.091	10.7390
1616498747.506	0.090	10.7150
1616498758.523	0.117	10.6850
1616498769.505	0.099	10.6530
1616498780.498	0.085	10.6320
1616498791.524	0.118	10.5960
